Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	4338fd89-4afd-41e6-b172-9189337d3477
Plate Name	251121_Scratch_48h_Gamme_prot
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	wound - Region Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
5	5	1	4	3090603.12751	8	4	0	21597.7177816	Off	37	Off	5					
5	6	1	4	3385265.60309	8	4	0	21598.3740268	Off	37	Off	5					
5	7	1	4	3859539.96548	8	4	0	21598.0300207	Off	37	Off	5					
5	8	1	4	2690375.52177	8	4	0	21598.4210303	Off	37	Off	5					
6	1	1	4	3419298.62611	8	4	0	21599.076771699998	Off	37	Off	5					
6	2	1	4	3057296.55879	8	4	0	21598.8267754	Off	37	Off	5					
6	3	1	4	3185033.5902	8	4	0	21596.593031599998	Off	37	Off	5					
6	4	1	4	3820930.42361	8	4	0	21597.421026	Off	37	Off	5					
6	5	1	4	3703754.92019	8	4	0	21597.733034	Off	37	Off	5					
6	6	1	4	3474400.25687	8	4	0	21598.420766799998	Off	37	Off	5					
6	7	1	4	3928395.51119	8	4	0	21598.0927767	Off	37	Off	5					
6	8	1	4	2662700.04856	8	4	0	21598.4522469	Off	37	Off	5					
7	1	1	4	3207145.31179	8	4	0	21599.1395233	Off	37	Off	5					
7	2	1	4	3473233.918	8	4	0	21598.905028999998	Off	37	Off	5					
7	3	1	4	3370298.06525	8	4	0	21596.577270399997	Off	37	Off	5					
7	4	1	4	4297792.51081	8	4	0	21597.343028699997	Off	37	Off	5					
7	5	1	4	3959461.1045	8	4	0	21597.764785299998	Off	37	Off	5					
7	6	1	4	4334214.09267	8	4	0	21598.4207731	Off	37	Off	5					
7	7	1	4	3649259.38445	8	4	0	21598.3737765	Off	37	Off	5					
7	8	1	4	3215710.8815	8	4	0	21598.453524599998	Off	37	Off	5					
8	1	1	4	3535760.57087	8	4	0	21599.2503005	Off	37	Off	5					
8	2	1	4	3082126.39443	8	4	0	21599.0160315	Off	37	Off	5					
8	3	1	4	3588042.35532	8	4	0	21596.577528399997	Off	37	Off	5					
8	4	1	4	4164612.08708	8	4	0	21596.575775999998	Off	37	Off	5					
8	5	1	4	3911854.70545	8	4	0	21598.0457536	Off	37	Off	5					
8	6	1	4	4042682.39157	8	4	0	21598.4677805	Off	37	Off	5					
1	1	1	5	3488104.02212	8	4	0	28800.047636199997	Off	37	Off	5					
1	2	1	5	3298569.65784	8	4	0	28799.050342799997	Off	37	Off	5					
1	3	1	5	3242240.07573	8	4	0	28798.972603799997	Off	37	Off	5					
1	4	1	5	3580435.36141	8	4	0	28799.8011252	Off	37	Off	5					
1	5	1	5	3649048.75569	8	4	0	28799.7846298	Off	37	Off	5					
1	6	1	5	3355068.31611	8	4	0	28799.5973541	Off	37	Off	5					
1	7	1	5	3551342.8008	8	4	0	28799.4563699	Off	37	Off	5					
1	8	1	5	3548425.52079	8	4	0	28800.0343717	Off	37	Off	5					
1	9	1	5	3055624.42432	8	4	0	28799.8471196	Off	37	Off	5					
2	1	1	5	3323153.0435	8	4	0	28799.9408633	Off	37	Off	5					
2	2	1	5	2792305.51471	8	4	0	28799.003124799998	Off	37	Off	5					
2	3	1	5	3260494.56855	8	4	0	28798.9408668	Off	37	Off	5					
2	4	1	5	3176343.36265	8	4	0	28799.8000883	Off	37	Off	5					
2	5	1	5	3182845.63019	8	4	0	28799.7688656	Off	37	Off	5					
2	6	1	5	2895801.61131	8	4	0	28799.7221149	Off	37	Off	5					
2	7	1	5	3034230.55994	8	4	0	28799.6283647	Off	37	Off	5					
2	8	1	5	2667725.04905	8	4	0	28800.0971115	Off	37	Off	5					
2	9	1	5	2872781.46361	8	4	0	28799.8158676	Off	37	Off	5					
3	1	1	5	3637767.93764	8	4	0	28800.190863599997	Off	37	Off	5					
3	2	1	5	3018270.05794	8	4	0	28799.0970957	Off	37	Off	5					
3	3	1	5	3085443.43923	8	4	0	28799.4563734	Off	37	Off	5					
3	4	1	5	3991551.18465	8	4	0	28799.9253692	Off	37	Off	5					
3	5	1	5	3493073.14151	8	4	0	28799.690872299998	Off	37	Off	5					
3	6	1	5	2930897.80809	8	4	0	28799.769322699998	Off	37	Off	5					
3	7	1	5	3815373.83623	8	4	0	28799.6128721	Off	37	Off	5					
3	8	1	5	2008524.3639	8	4	0	28799.737609599997	Off	37	Off	5					
3	9	1	5	3186754.44152	8	4	0	28799.644110899997	Off	37	Off	5					
4	1	1	5	5749498.96269	8	4	0	28800.331863199997	Off	37	Off	5					
4	2	1	5	5142595.82332	8	4	0	28799.1283819	Off	37	Off	5					
4	3	1	5	4539426.68775	8	4	0	28799.3158592	Off	37	Off	5					
4	4	1	5	3325725.00697	8	4	0	28799.9095919	Off	37	Off	5					
4	5	1	5	3106555.03242	8	4	0	28799.643868699997	Off	37	Off	5					
4	6	1	5	3195735.53736	8	4	0	28799.8000993	Off	37	Off	5					
4	7	1	5	3653623.84168	8	4	0	28799.628612599998	Off	37	Off	5					
4	8	1	5	2863929.32416	8	4	0	28799.8143885	Off	37	Off	5					
4	9	1	5	2234877.20913	8	4	0	28799.6283648	Off	37	Off	5					
5	1	1	5	3645711.65099	8	4	0	28800.4098646	Off	37	Off	5					
5	2	1	5	2931873.57808	8	4	0	28799.534635199998	Off	37	Off	5					
5	3	1	5	2892059.01042	8	4	0	28799.3471197	Off	37	Off	5					
5	4	1	5	3399690.09125	8	4	0	28799.9563876	Off	37	Off	5					
5	5	1	5	2810870.9357	8	4	0	28799.691366199997	Off	37	Off	5					
5	6	1	5	3010390.82277	8	4	0	28799.816122599997	Off	37	Off	5					
5	7	1	5	3683071.74877	8	4	0	28799.581359	Off	37	Off	5					
5	8	1	5	2406341.91807	8	4	0	28799.6911141	Off	37	Off	5					
6	1	1	5	3350281.1685	8	4	0	28800.5343645	Off	37	Off	5					
6	2	1	5	2811563.00164	8	4	0	28801.471616799998	Off	37	Off	5					
6	3	1	5	2943890.88037	8	4	0	28799.3626157	Off	37	Off	5					
6	4	1	5	3578359.1636	8	4	0	28799.9093598	Off	37	Off	5					
6	5	1	5	3360107.64509	8	4	0	28799.705874299998	Off	37	Off	5					
6	6	1	5	3206076.40664	8	4	0	28799.8160852	Off	37	Off	5					
6	7	1	5	3751063.2867	8	4	0	28799.5968689	Off	37	Off	5					
6	8	1	5	2516436.28307	8	4	0	28799.6285874	Off	37	Off	5					
7	1	1	5	3068223.4632	8	4	0	28800.831114999997	Off	37	Off	5					
7	2	1	5	3314696.3703	8	4	0	28801.5186229	Off	37	Off	5					
7	3	1	5	3229969.15921	8	4	0	28799.268611	Off	37	Off	5					
7	4	1	5	4378404.58035	8	4	0	28799.3003673	Off	37	Off	5					
7	5	1	5	3829501.72471	8	4	0	28799.925114399997	Off	37	Off	5					
7	6	1	5	4277665.2847	8	4	0	28799.7845948	Off	37	Off	5					
7	7	1	5	3381875.48299	8	4	0	28799.5971143	Off	37	Off	5					
7	8	1	5	3116271.17966	8	4	0	28799.6283678	Off	37	Off	5					
8	1	1	5	3530093.65414	8	4	0	28801.4248978	Off	37	Off	5					
8	2	1	5	3043849.27346	8	4	0	28801.6281115	Off	37	Off	5					
8	3	1	5	3520619.65834	8	4	0	28799.237874399998	Off	37	Off	5					
8	4	1	5	4065301.34162	8	4	0	28799.17359	Off	37	Off	5					
8	5	1	5	3896808.36094	8	4	0	28799.9718713	Off	37	Off	5					
8	6	1	5	3957952.31479	8	4	0	28799.7871187	Off	37	Off	5					
1	1	1	6	3462301.28219	8	4	0	36000.05223	Off	37	Off	5					
1	2	1	6	3063072.37202	8	4	0	35999.8674662	Off	37	Off	5					
1	3	1	6	3112977.06043	8	4	0	35999.8207014	Off	37	Off	5					
1	4	1	6	3498851.82044	8	4	0	36000.4449944	Off	37	Off	5					
1	5	1	6	3434284.79098	8	4	0	36000.492726899996	Off	37	Off	5					
1	6	1	6	3155703.1767	8	4	0	36000.257908499996	Off	37	Off	5					
1	7	1	6	3478367.815	8	4	0	36000.0704728	Off	37	Off	5					
1	8	1	6	3426365.43605	8	4	0	36002.304208	Off	37	Off	5					
1	9	1	6	2849785.67435	8	4	0	36002.2104583	Off	37	Off	5					
2	1	1	6	3179276.404	8	4	0	36000.6172063	Off	37	Off	5					
2	2	1	6	2531052.77296	8	4	0	35999.7887153	Off	37	Off	5					
